h,chi_F
1.000000e+00,1.138231e-01
1.071429e+00,1.312416e-01
1.142857e+00,1.477202e-01
1.214286e+00,1.658869e-01
1.285714e+00,1.866897e-01
1.357143e+00,2.070010e-01
1.428571e+00,2.285095e-01
1.500000e+00,2.497860e-01
1.571429e+00,2.701240e-01
1.642857e+00,2.875536e-01
1.714286e+00,3.040259e-01
1.785714e+00,3.148133e-01
1.857143e+00,3.273257e-01
1.928571e+00,3.334529e-01
2.000000e+00,3.363915e-01
2.071429e+00,3.377215e-01
2.142857e+00,3.346612e-01
2.214286e+00,3.270889e-01
2.285714e+00,3.166358e-01
2.357143e+00,3.042664e-01
2.428571e+00,2.908840e-01
2.500000e+00,2.742439e-01
2.571429e+00,2.563718e-01
2.642857e+00,2.373308e-01
2.714286e+00,2.186349e-01
2.785714e+00,1.990842e-01
2.857143e+00,1.799735e-01
2.928571e+00,1.609690e-01
3.000000e+00,1.427592e-01
3.071429e+00,1.260546e-01
3.142857e+00,1.097201e-01
3.214286e+00,9.535805e-02
3.285714e+00,8.228489e-02
3.357143e+00,7.085823e-02
3.428571e+00,6.006862e-02
3.500000e+00,5.056189e-02
3.571429e+00,4.249354e-02
3.642857e+00,3.545430e-02
3.714286e+00,2.949470e-02
3.785714e+00,2.454713e-02
3.857143e+00,2.041924e-02
3.928571e+00,1.687105e-02
4.000000e+00,1.391370e-02
4.071429e+00,1.149895e-02
4.142857e+00,9.506435e-03
4.214286e+00,7.915013e-03
4.285714e+00,6.660815e-03
4.357143e+00,5.602904e-03
4.428571e+00,4.731678e-03
4.500000e+00,4.033351e-03
